,Address,Size,Type,Description
2151,173422,483,Sprite subroutine (JSR),Object contact subroutine for the player's fireballs.
2152,174034,37,Misc.,"Two sprites that are treated as ""special"" within the sprite header. The first list of sprites come first before the second."
2153,174076,482,Subroutine (JSR),The routine that loads sprites from the level data. Called every frame; $02A802 is also called a few times during level load.
2154,174472,1,ASM,Change from 10 to 80 to disable the green and red koopa shells from becoming yellow and blue after the special world is passed
2155,174475,1,Sprite number,1st sprite to change after beating Special Zone (Green Koopa)
2156,174479,1,Sprite number,What sprite Green Koopa becomes after beating Special World (Yellow Koopa)
2157,174481,1,Sprite number,2nd sprite to change after beating Special Zone (Red Koopa)
2158,174485,1,Sprite number,What Red Koopa becomes after beating Special World (Blue Koopa)
2159,174497,1,Misc.,Change to 80 to prevent off screen sprites from turning into silver coins when the silver POW is active (USE WITH $01AB28)
2160,174513,1,Sprite number,Sprite that all sprites change into when a silver POW is active. (Only works on offscreen sprites)  Take note that the sprite will use the same palette as the silver coin that is normally spawned
2161,174531,1,Palette,Palette to use for sprites changed by Silver P-Switch (offscreen sprites only)
2162,174564,39,Subroutine (JSL),"Routine to search for free spite slot within the standard sprite slot region (as defined by the sprite memory setting).

Jumping to $02A9E6 will alternatively start searching from the highest available slot minus whatever value is in $0E (e.g. if the standard range is 1-9 and $0E = 0x03, then it will search only slots 1-6). For a value of 0x02, jump to $02A9DE instead."
2163,174603,20,Coordinate,"Position of all Boos in the reappearing ghosts generator, frame 1. Format: $xy."
2164,174623,20,Coordinate,"Position of all Boos in the reappearing ghosts generator, frame 2. Format: $xy."
2165,174883,1,Sprite Misc.,[09] How many Boos are in the Boo ring (Minus 1).
2166,174894,1,Sprite number,[04] What sprite makes up the Boo Ring.
2167,175091,1,Misc.,Change from 3F to 7F to fix a bug where the sprite load (or permanently killed) status index 64 to 127 gets carried over to the next level.
2168,175128,1,Misc.,Change to 80 to fix the glitch where going through a pipe with a silver P-switch makes it act like a blue one.
2169,175333,10,Subroutine (JSL),"The ""give points"" routine.  It ends in RTL, but it JSLs to the main one.  To use this properly, A should contain one of the following values:


00 = 100

01 = 200

02 = 400

03 = 800

04 = 1000

05 = 2000

06 = 4000

07 = 8000

08 = 1up

09 = 2up

0A = 3up

0B = 5up (may glitch)"
2170,175343,69,Subroutine (JSL),"The main score sprite subroutine.  Load a value into A and JSL to it to give the player points.


00 = ?

01 = 10

02 = 20

03 = 40

04 = 80

05 = 100

06 = 200

07 = 400

08 = 800

09 = 1000

0A = 2000

0B = 4000

0C = 8000

0D = 1up

0E = 2up

0F = 3up

10 = 5up (may glitch)"
2171,175437,21,Sprite tilemap related,"Tiles used by Floating Point Notations, 1UPs, 2UPs, etc. 1st half."
2172,175459,21,Sprite tilemap related,"Tiles used by Floating Point Notations, 1UPs, 2UPs, etc. 2nd half"
2173,175480,17,Misc.,"Score added from score sprites, divided by 10 (low byte)"
2174,175497,17,Misc.,"Score added from score sprites, divided by 10 (high byte)"
2175,175514,1,Misc.,point rise speed
2176,175518,6,Sprite Misc.,OAM indexes for score sprites.
2177,175524,389,Sprite Misc.,"The main routine for all score sprites.  This handles graphics, giving lives/points/1-ups/coins, position updating, etc.

$02ADD9 is how many lives 1up Mushrooms give you.

$02ADDA is how many lives 2up gives you.

$02ADDB is how many lives 3up Moons give you.

$02ADDC is how many lives 5up gives you.

$02ADDD is how many coins you get from the (unused) x5, x10, x15, x20, and x25 coin sprites.

$02ADE2 is the attributes of 2up & 3up score sprites. The unused 5up sprites and coin sprites read past this table.

You can change $02AE03 to A9 xx EA to make 1up Mushrooms and 3up Moons give you xx lives."
2178,175833,1,Sprite Misc.,Score sprite and 1-UP text sprite YXPPCCCT. It is recommend you to change only priority and palette.
2179,175917,6,Sprite Misc.,"Initial angles of the 3 platforms in the 3 Grey Rotating Platforms sprite.


Format:

- $02AF2D (Low Bytes)

  - Platform 1 (Default: $00)

  - Platform 2 (Default: $AA)

  - Platform 3 (Default: $54)

- $02AF30 (High Bytes)

  - Platform 1 (Default: $00)

  - Platform 2 (Default: $00)

  - Platform 3 (Default: $01)"
2180,175938,1,Sprite number,How many platforms (minus 1) are in the 3 Grey Rotating Platforms sprite.
2181,175954,1,Sprite number,The sprite that the 3 platforms is made from
2182,176060,1,Sprite number,Sprite that the 'group of 5 eerie' is made of
2183,176196,1,Sound effect,SFX played by bowser fireball generator. Change to 00 to disable.
2184,176206,1,Sprite number,Sprite spawned by bowser fireball generator
2185,176255,1,Misc.,How often the Bullet Bill generator fires (sprite D5)
2186,176265,1,Sound effect,SFX played by bullet bill generator. Change to 00 to disable.
2187,176276,1,Sprite number,Sprite spawned by bullet bill generator
2188,176331,1,Sprite Misc.,"Number of bullets to spawn from the surrounded Bullet Bill generator, minus one. (Don't set this higher than 04, or the tables at $02B0FA-$02B114 will underflow.)"
2189,176332,1,Sprite Misc.,"Number of bullets to spawn from the diagonal Bullet Bill generator, minus one. (Setting this to 04-08 will make the diagonal generator also spawn the surrounded generator's bullets. Don't set this higher than 08.)"
2190,176345,1,Timer,Determines how often the surrounded/diagonal Bullet Bill generators fire. Multiply this by 2 to get the delay in frames.
2191,176352,1,Sound effect,SFX played by surrounded/diagonal Bullet Bill generators. Change to 00 to disable.
2192,176352,1,Sound effect,SFX played by Diagonal Bullet Bill generator. Change to 00 to disable.
2193,176378,5,Sprite Misc.,"Initial X position, within screen, of bullets spawned by surrounded Bullet Bill generator."
2194,176383,4,Sprite Misc.,"Initial X position, within screen, of bullets spawned by diagonal Bullet Bill generator."
2195,176387,5,Sprite Misc.,"Initial Y position, within screen, of bullets spawned by surrounded Bullet Bill generator."
2196,176392,4,Sprite Misc.,"Initial Y position, within screen, of bullets spawned by diagonal Bullet Bill generator."
2197,176396,5,Sprite Misc.,"Direction of bullets spawned by surrounded Bullet Bill generator.


00 = right

01 = left

02 = up

03 = down

04 = up-right

05 = down-right

06 = down-left

07 = up-left"
2198,176401,4,Sprite Misc.,"Direction of bullets spawned by diagonal Bullet Bill generator.


00 = right

01 = left

02 = up

03 = down

04 = up-right

05 = down-right

06 = down-left

07 = up-left"
2199,176412,1,Sprite number,Sprite spawned by the surrounded/diagonal Bullet Bill generators.
2200,176478,1,Misc.,"Frequency of fish jumping up with the flying fish generator (set more bits to decrease the frequency, e.g. $5F, $FF)"
2201,176494,1,Sprite number,Sprite spawned by Jumping Fish generator
2202,176591,1,Sprite number,Sprite spawned by Super koopa generator
2203,176666,1,Sprite number,Sprite spawned by bubble generator
2204,176782,1,Sprite number,Sprite spawned by Dolphin generator
2205,176873,1,Sprite number,Sprite spawned by eerie generator
2206,177137,1,Sprite number,Sprite spawned by Torpedo Ted generator
2207,177198,1,Sprite number,Object that appears before Torpedo Ted is spawned
2208,177260,1,Timer,How often Bullet Bill shooters fire
2209,177301,2,ASM,Replace with 80 0A to make the Bullet Bill Shooter keep shooting even if Mario is standing next to the generator.
2210,177320,1,Sound effect,SFX played by Bullet Bill Shooter
2211,177330,1,Sprite number,Sprite Spawned by bullet bill shooter
2212,177434,12,Sprite subroutine (JSR),Updates a bounce sprite's Y position without gravity (actually just changes the sprite index and JSRs to $02B526).
2213,177446,46,Sprite subroutine (JSR),Updates a bounce sprite's X position without gravity.
2214,177492,12,Sprite subroutine (JSR),The subroutine that updates an extended sprite's X position (without gravity).
2215,177504,46,Sprite subroutine (JSR),The subroutine that updates an extended sprite's Y position (without gravity).
2216,177550,46,Sprite subroutine (JSR),The subroutine that updates the Y position of the spinning coin coming from a ? block.
2217,177596,12,Sprite subroutine (JSR),"The X speed subroutine for minor extended sprites.  Actually just adds 12 to the sprite index and JSRs to the Y speed subroutine, just like the equivalent subroutine for normal sprites."
2218,177608,36,Sprite subroutine (JSR),The Y speed subroutine for minor extended sprites.
2219,177644,68,Empty,Unused data.
2220,177759,4,Misc.,X coordinates of Pokey animation
2221,177763,2,Misc.,"Pokey's X speed (right, left)"
2222,177805,1,Sprite tilemap related,Pokey's head after being eaten
2223,177809,1,Sprite tilemap related,Pokey's Body after being eaten
2224,178060,1,Sprite tilemap related,Pokey's Body Tilemap
2225,178061,1,ASM,"Change to 90 and Pokey's head will be his body, and the other way round"
2226,178064,1,Sprite tilemap related,Pokey's Head Tilemap
2227,178069,1,Sprite tilemap related,pokey's palette/gfx page
2228,178360,2,Sprite Misc.,"Max Speed Torpedo Ted can go. (Format = Right, Left)


The Left value must be over $7F while the Right value must be below $80."
2229,178362,2,Sprite Misc.,"How fast Torpedo Ted gains speed/accelerates until he reaches max speed. (Format = Right, Left)


The Left value must be over $7F while the Right value must be below $80."
2230,178367,1,Sprite Misc.,"How many frames torpedo ted waits until he gains more speed.


(This value is AND'd with the frame counter)"
2231,178477,1,Sprite tilemap related,Tilemap: Torpedo Ted's face
2232,178487,1,Sprite tilemap related,Tilemap:  Torpedo Ted's Propeller Frame 1
2233,178495,1,Sprite tilemap related,Tilemap:  Torpedo Ted's Propeller Frame 2
2234,178499,1,Sprite tilemap related,Tilemap:  Torpedo Ted's Propeller Frame 3
2235,178596,25,Sprite subroutine (JSL),"This generates a Map16 tile at the position of the sprite currently being processed.  It can be accessed with a JSL, and A should be set to the value of $9C you wish to use."
2236,178621,28,Subroutine (JSL),A subroutine that turns all sprites on screen into silver coins. Called when pressing a silver P switch.
2237,178650,1,Sprite number,Sprite to use for those changed by Silver P-Switch  (the ones that change while on the screen)
2238,178671,1,Palette,Palette to use for sprites changed by Silver P-Switch (on screen sprites only)
2239,178856,1,Misc.,Lowest tile # that acts as a berry with sticking out the tongue
2240,178860,1,Misc.,Highest tile # that acts as a berry plus one with sticking out the tongue
2241,178886,1,Sprite number,Sprite that the berries are made from when swallowed
2242,178947,1,Misc.,Tile spawned from eating a berry (using tongue). Corresponds to a value in $7E:009C.
2243,178967,4,Sprite tilemap related,Sprite tilemap: Yoshi Wings
2244,178971,4,Sprite tilemap related,Palette/Gfx page/Priority/Flip of Yoshi Wing tiles
2245,178975,4,Sprite tilemap related,Size of Yoshi Wing tiles
2246,178979,101,Sprite subroutine (JSL),Subroutine for drawing and animating Yoshi's wings.
2247,179214,6,Sprite tilemap related,Horizontal Dolphin Tilemap
2248,179623,12,Sprite Misc.,"Code that handles erasing Spike Tops that go offscreen vertically. Set to [80 0A] (BRA $0A) to disable this behavior, however keep in mind that this means the sprites will be able to walk around the underside of your level."
2249,179806,4,Sprite tilemap related,"Change from ""C9 02 D0 17"" to ""C9 01 F0 17"" to make Fuzzies/Sparkies to only use the latter's tilemap in the castle (01) sprite tileset, as opposed to using the sparky's tilemap in every sprite tileset apart from the mushroom (02)."
2250,179819,1,Sprite tilemap related,Ground-guided Fuzzball Tilemap
2251,179834,1,Sprite tilemap related,Sparky Tilemap
2252,179861,8,Sprite tilemap related,Hothead Tilemap
2253,179979,1,Sprite tilemap related,Hothead's eyes frame 1
2254,179986,1,Sprite tilemap related,Hothead's eyes frame 2
2255,180051,5,Sprite tilemap related,"Urchin YXPPCCCT properties, eyes and body. Order: Eyes, upper left body part, upper right, lower left, lower right."
2256,180056,4,Sprite tilemap related,Urchin's Body Tilemap
2257,180131,1,Sprite tilemap related,Urchin's eyes frame 1
2258,180137,1,Sprite tilemap related,Urchin's eyes frame 2
2259,180431,87,Subroutine (JSL),(Unused) Z tile generation (Rip Van Fish Z tiles).
2260,180441,77,Sprite subroutine (JSL),Rip Van Fish Z tiles generation routine
2261,180646,1,Sprite number,Sprite Diggin' Chuck unearths
2262,180895,1,Misc.,"1st type of block Chargin' Chuck can smash through, -0x100 (Throw Block)"
2263,180899,1,Misc.,"2nd type of block Chuck can smash through, -0x100 (Turn Block)"
2264,180926,1,Misc.,What top row of blocks become when Chuck smashes through them
2265,180955,1,Misc.,What bottom row of blocks become when Chuck smashes through them
2266,181122,1,Sound effect,Whistling Chuck Sound Effect.
2267,181171,4,Sprite Misc.,"Timers for Pitchin' Chuck's throwing.  This table is indexed by the initial sprite X position.  The timers themselves are formatted thus: t = $3F + $20n, where t is the timer value and n is the number of baseballs thrown in a row.  So the sprite will throw 2, 4, 6, or 5 baseballs depending on its X position.  However, this applies only when it is on the ground; if it is in the air, then the timing is different."
2268,181175,4,Sprite Misc.,Pitchin' Chuck's animation frames when throwing baseballs while on the ground.
2269,181179,16,Sprite Misc.,Pitchin' Chuck's animation frames when throwing baseballs while jumping.
2270,181344,2,Misc.,"Starting X-coordinate of baseball when thrown by Chuck (facing right, facing left)"
2271,181348,2,Misc.,"X speed of baseball when thrown by Chuck (right, left)"
2272,181370,1,Sprite number,Object that Pitchin' Chuck pitches
2273,181497,1,Sound effect,SFX played by Clappin' Chuck's clap.
2274,181537,1,Sprite physics,[F0] Speed of Clappin' Chuck's idle bounce. Negative values closer to $80 result in a higher bounce. Change to a positive value ($00-$7F) to disable Clappin' Chuck's idle bouncing.
2275,181552,1,Sprite physics,[C0] Speed of Clappin' Chuck's clapping jump. Negative values closer to $80 result in a higher jump. Change to a positive value ($00-$7F) to disable Clappin' Chuck's clapping jump.
2276,181559,1,Sound effect,SFX played by Bouncin' and Clappin' Chuck's jump.
2277,181679,1,Sound effect,SFX played by Splitin' Chuck
2278,181704,1,Sprite number,Sprite spawned by Splittin' Chuck
2279,182024,1,Sound effect,Running Chuck sound
2280,182206,1,Misc.,"Determines the number of points received for defeating a Chuck by stomping or with a star. See $02ACE5 for a list of possible values.


[Note: That list at $02ACE5 needs to have FB = Nothing, FC = 10, FD = 20, FE = 40, and FF = 80 added to it.]"
2281,182242,6,ASM,change from [B5 C2 C9 03 F0 27] to [EA EA EA EA EA EA] to remove the stomp immunity chucks get briefly when taking a stomp.
2282,182248,1,Misc.,Set to BD for unlimited Chargin Chuck stomping hp
2283,182255,1,Misc.,Chargin Chuck stomping hp
2284,182263,1,Sound effect,Hitting Chuck sound
2285,182398,7,Sprite tilemap related,Sprite tilemap: Chuck Head(All)
2286,182667,51,Sprite tilemap related,Sprite tilemap: Chuck Body(All)
2287,182935,2,Sprite tilemap related,"Clappin' Chuck's hand tiles (raised, clapping)"
2288,183034,2,Palette,[47 07] Change to 40 00 to be able to change the palette of Chargin' Chucks arm with Tweaker/etc. (USE WITH $02CB2E)
2289,183063,1,Sprite tilemap related,Tile used by Chargin' Chuck's arm
2290,183086,1,Palette,"[64] Change to 08 to be able to change the palette of Chargin' Chucks arm with Tweaker/etc.

(USE WITH $02CAFA)"
2291,183164,1,Sprite tilemap related,Tile to use for the baseball when it's in Pitchin' Chuck's hand
2292,183169,1,Palette,Palette/GFX page for baseball when it's in Pitchin' Chuck's hand
2293,183185,1,Sprite tilemap related,Change from [04] to [0C] to fix a tilemap error in part of the Diggin' Chuck's dig animation that gives him a dislocated shoulder while facing left.
2294,183195,3,Sprite tilemap related,Diggin' Chuck's Shoulder and Shovel Tiles
2295,183473,4,Misc.,Unused cage wings: X offsets
2296,183477,4,Misc.,Unused cage wings: Y offsets
2297,183548,1,Sprite tilemap related,"Unused cage wings: Extended wing, top tile"
2298,183552,1,Sprite tilemap related,"Unused cage wings: Closed wing, top tile"
2299,183557,1,Sprite tilemap related,"Unused cage wings: Extended wing, bottom tile"
2300,183561,1,Sprite tilemap related,"Unused cage wings: Closed wing, bottom tile"
2301,183566,1,Sprite tilemap related,"Unused cage wings: Attribute byte #1 (X flip, Y flip, priority, palette, MSB of tile num.)"
2302,183578,1,Sprite tilemap related,"Unused cage wings: Attribute byte #2 (size, MSB of X pos.)"
2303,183637,4,Palette,"YXPPCCCT data for the (flattened) switch palaces (level), indexed by type. Order is green, yellow, blue, red."
2304,183649,1,Misc.,Tile spawned from stepping on big ! switch
2305,184036,1,Misc.,How many pieces make up the pea bouncer
2306,184108,1,Sprite tilemap related,Tile of pea bouncer
2307,184115,1,Sprite tilemap related,Attributes of pea bouncer tile
2308,184318,5,Sprite physics,Bounciness of each part of pea bouncer
2309,184771,1,Misc.,Lowest tile # that acts as a berry without sticking out the tongue
2310,184775,1,Misc.,Highest tile # that acts as a berry plus one without sticking out the tongue
2311,184840,1,Misc.,Tile spawned from eating a berry (w/o using tongue). Corresponds to a value in $7E:009C.
2312,184850,1,Sprite physics,"[10] {+16} Horizontal speed limit when pressing Right from the Control Pad, when Mario uses the P-balloon or rides the Lakitu cloud.


The speed is a signed integer. Positive speeds (00..7F) go right. High speeds might cause glitches, like allowing Mario to fly inside solid blocks."
2313,184851,1,Sprite physics,"[F0] {-16} Horizontal speed limit when pressing Left from the Control Pad, when Mario uses the P-balloon or rides the Lakitu cloud.


The speed is a signed integer. Negative values (80..FF) go left."
2314,184904,1,Sprite physics,"[00] {0} Vertical speed when releasing Up and Down from the Control Pad, while Mario rides the Lakitu cloud.


This is a signed integer. Positive speeds (01..7F) go down. Negative speeds (80..FF) go up.


After using $02:D248, $02:D256 or $02:D25C, the game adds a slight, varying downward speed to the Lakitu cloud. So if you leave [00] in $02:D248, then the cloud will sink slightly while Mario rides the cloud."
2315,184918,1,Sprite physics,"[10] {+16} Vertical speed limit when pressing Down from the Control Pad, while Mario rides the Lakitu cloud."
2316,184924,1,Sprite physics,"[F0] {-16} Vertical speed limit when pressing Up from the Control Pad, while Mario rides the Lakitu cloud."
2317,184928,1,Sprite physics,"[F8] {-8} Vertical speed when releasing Up and Down from the Control Pad, while Mario uses the P-balloon. Change to [00] {0}, to prevent that Mario floats up gradually, so that Mario can float in place."
2318,184936,1,Sprite physics,"[F0] {-16} Vertical speed limit when pressing Up from the Control Pad, while Mario uses the P-balloon."
2319,184942,1,Sprite physics,"[08] {+8} Vertical speed limit when pressing Down from the Control Pad, while Mario uses the P-balloon."
2320,185377,1,ASM,Change from 60 to 6B to fix the glitch where trying to disable the layer 3 smasher with generator D2 will cause the game to crash.
2321,185630,97,Empty,Unused data.
2322,185753,1,Misc.,Horizontal speed of Banzai Bill
2323,185764,16,Sprite tilemap related,X offsets of Banzai Bill's tiles.
2324,185780,16,Sprite tilemap related,Y offsets of Banzai Bill's tiles.
2325,185796,16,Sprite tilemap related,TTTTTTTT of Banzai Bill's tiles.
2326,185812,16,Sprite tilemap related,YXPPCCCT of Banzai Bill's tiles.
2327,186276,1,Sprite tilemap related,Tilemap:  Ball 'n' Chain's chainlink
2328,186282,1,Sprite tilemap related,Tilemap:  Chain used by platform (Sprites A3 and E0)
2329,186303,1,Sprite tilemap related,Palette of chain (Ball 'n' Chain & rotating grey platform)
2330,186368,4,Sprite tilemap related,"Tilemap:  Ball 'n' Chain's Spiked Ball (Changing this will freeze the game!)

It's actually a routine which is used to waste time (6 NOPs + RTS) for the math registers, but Nintendo uses it for the tilemap, too. A typical example of executable tables."
2331,186375,4,Sprite tilemap related,"X Offsets of Ball n' Chain's Ball tiles.


Format:

- Top Left ($F8)

- Top Right ($08)

- Bottom Left ($F8)

- Bottom Right ($08)"
2332,186379,4,Sprite tilemap related,"Y Offsets of Ball n' Chain's Ball tiles.


Format:

- Top Left ($F8)

- Top Right ($F8)

- Bottom Left ($08)

- Bottom Right ($08)"
2333,186383,4,Sprite tilemap related,"Ball n' Chain's Ball YXPPCCCT Properties.


Format:

- Top Left ($33)

- Top Right ($73)

- Bottom Left ($B3)

- Bottom Right ($F3)"
2334,186412,2,Pointer,Change from 00 D8 to E7 FF in order to move the location of Ball 'n' Chain's tilemap to address $02FFE7.
2335,186436,4,Sprite tilemap related,Wooden Platform on Chain Tilemap (Sprites A3 and E0)
2336,186467,1,Sprite tilemap related,Palette of rotating grey platform
2337,186529,8,Sprite tilemap related,"Bubble Sprites Tile Table (2 animation frames with 2 bytes in them. Order: Goomba, Bob-Omb, Cheep-Cheep, Mushroom)"
2338,186537,16,Sprite tilemap related,"Palette/GFX Page Table of Sprites in bubbles (Order: Goomba, Bob-Omb, Cheep-Cheep, Mushroom)"
2339,186649,1,Sound effect,Bubble pop sound
2340,186785,4,Sprite number,"Sprites spawned from Bubbles (Goomba, Bob-omb, Cheep-Cheep, Mushroom)"
2341,186789,15,Sprite tilemap related,"X Placement of Bubble Tiles, 3 animation frames, each 5 bytes"
2342,186804,15,Sprite tilemap related,"Y Placement of Bubble Tiles, 3 animation frames, each 5 bytes"
2343,186819,5,Sprite tilemap related,Bubble Tile Table
2344,186824,5,Sprite tilemap related,Palette/GFX Page of Bubble Tiles
2345,186829,5,Sprite tilemap related,Bubble Tile Size Table
2346,186976,4,Sprite Misc.,[C9 02 D0 0A] (CMP #$02 BNE $0A) Change to [C9 08 B0 0A] (CMP #$08 BCS $0A) to fix the bug where hammer brothers will throw hammers if tossed into lava.
2347,186983,7,Misc.,How often Amazing Flyin' Hammer Brother throws hammers on each submap.
2348,187022,1,Sprite Misc.,Submap in which the Hammer Bro. throws hammers half as fast. By default: 00 (main map).
2349,187028,3,ASM,Set to EA EA EA to make Amazing Flyin' Hammer Brothers stop turning around.
2350,187076,1,Sprite number,Extended Sprite thrown by Amazing Flyin' Hammer Brother
2351,187121,8,Sprite tilemap related,Sprite tilemap: Amazing Flyin' Hammer Brother
2352,187167,1,Palette,"Amazing Flyin' Hammer Brothers palette (37 by default, change the sprite's palette by changing the second digit - ""7"" - to a number 0-F)"
2353,187351,3,ASM,Set to EA EA EA to disable Amazing Flyin' Hammer Brothers platform vertical movement
2354,187354,3,ASM,Set to EA EA EA to disable Amazing Flyin' Hammer Brothers platform horizontal movement
2355,187423,8,Sprite tilemap related,Sprite tilemap: Amazing Flyin' Hammer Brother Platform
2356,187431,8,Sprite tilemap related,Palette/GFX Page of Amazing Flyin' Hammer Brother Platform
2357,187749,1,Sound effect,SFX played by Sumo Brother
2358,187798,1,Sprite number,Sprite spawned by Sumo Brother
2359,187918,8,Sprite tilemap related,"Sumo Bros Tilemap (Head, Body Arms Up, Head, Body Arms Down)"
2360,187930,4,Sprite tilemap related,"Sumo Bros Tilemap (Head, Head, Body Stomp)"
2361,187934,8,Sprite tilemap related,"Sumo Bros Tilemap (Head, Head, Body Lift Leg, Head Head, Body Lift Leg)"
2362,188037,1,Sprite tilemap related,Sumo Bros' palette/GFX page
2363,188086,1,Misc.,Y speed of Sumo Bros' lightning bolt
2364,188424,3,Sprite tilemap related,Volcano Lotus:  Top Tiles
2365,188434,1,Sprite tilemap related,Volcano Lotus:  Bottom
2366,188502,1,Sprite tilemap related,Palette/gfx page of Frame 3 of Volcano Lotus's top
2367,188506,1,Sprite tilemap related,Palette/gfx page of Frames 1 and 2 of Volcano Lotus's top
2368,188561,1,Sprite number,Extended Sprite used by Volcano Lotus
2369,188686,1,Palette,Palette of Jumping Piranha Plant leaves
2370,188878,1,Sprite number,The 2 objects that the fire-shooting Piranha Plant spits
2371,189142,1,Misc.,Tile spawned by Directional Coin sprite
2372,189298,16,Sprite tilemap related,Large Green Bubble Tilemap
2373,189728,4,Misc.,"Tiles left behind by mushroom scale platforms (in order of left platform sinking; rising, right platform rising; sinking)"
2374,189849,1,Sprite tilemap related,Mushroom Scale Platform Tile (mirrored for right side)
2375,189895,1,Sprite physics,Rightward speed of the moving Ghost House hole.
2376,189904,1,Sprite physics,Leftward speed of the moving Ghost House hole.
2377,190058,4,Sprite tilemap related,Ghost House Moving Hole Tilemap
2378,190120,1,Sprite tilemap related,Fishin' Lakitu's rod
2379,190125,1,Sprite tilemap related,Tile used by Fishin' Lakitu's 1up bait
2380,190130,1,Sprite tilemap related,Fishing Pole's palette
2381,190135,1,Sprite tilemap related,1up Bait Palette
2382,190215,1,Sprite tilemap related,Tile used by line on Fishin' Lakitu's rod
2383,190220,1,Sprite tilemap related,Fishing Line Palette
2384,190525,8,Misc.,"Tiles left behind by the left (first 4 bytes) and the right (next 4 bytes) side of the Growing/Shrinking Pipe, in the format of $7E009C. The order of the bytes corresponds to the pipe waiting at the bottom, growing, waiting at the top, and shrinking."
2385,190746,1,Sprite tilemap related,Left tile from the Growing/shrinking pipe end
2386,190751,1,Sprite tilemap related,Right tile from the Growing/shrinking pipe end
2387,190875,1,Sprite physics,Rising speed of Pipe Lakitu
2388,190947,1,Sprite physics,Sinking speed of Pipe Lakitu
2389,190950,6,Sprite tilemap related,Pipe-Dwelling Lakitu Tilemap
2390,191003,1,Sprite tilemap related,YXPPCCCT properties (Palette/GFX page/Properties) of Pipe Lakitu.
2391,191218,4,ASM,Change to EA EA EA EA to stop Super Koopas from spawning feathers. (In conjunction with $02EB19)
2392,191230,1,Sprite number,Sprite spawned by Super Koopa when stomped (feather)
2393,191257,4,ASM,Change to EA EA EA EA to prevent Super Koopas from spawning feathers (In conjuction with $02EAF2)
2394,191602,28,Sprite tilemap related,Sprite tilemap: Super koopa
2395,191638,36,Sprite tilemap related,"Partial data for the YXPPCCCT of Super Koopa. Bit 1 is used to determine whether the tile is part of the Koopa (0) or cape (1). If it is a cape tile, then the CCC bits should not be used; edit $02ED39 and $02ED40 instead.


Edit both $02ECA9 and $02ECAD from 00 to 01 to fix garbage tiles when a stomped left-flying Super Koopa is falling down."
2396,191801,2,Palette,"Partial data for the YXPPCCCT of the flashing Super Koopa's cape. Specifically, these are the CCC bits (palette)."
2397,191808,1,Palette,"Partial data of the YXPPCCCT for the red/yellow Super Koopa's cape. Specificially, these are the CCC bits (palette) of the yellow cape; the red cape comes from this times 2."
2398,191903,1,Sprite number,Sprite that the 'group of floating skulls' is made from
2399,192004,1,Sprite tilemap related,Floating Skull tile (frame 1)
2400,192008,1,Sprite tilemap related,Floating Skull tile (frame 2)
2401,192098,1,Sprite physics,[0C] Speed of the floating skulls.
2402,192278,1,Sprite physics,X-speed of the coin game cloud (When Yoshi eats two pink berries)
2403,192302,1,Sprite tilemap related,What tile the coin game cloud uses
2404,192329,1,Sprite tilemap related,X-position of the face on the coin game cloud
2405,192337,1,Sprite tilemap related,Y-position of the coin game cloud face
2406,192342,1,Sprite tilemap related,Tile to use for the face of the cloud game.
2407,192347,1,Sprite tilemap related,Cloud's face palette
2408,192385,1,Sprite number,Sprite that is generated when all of the Coin Game Cloud coins are collected
2409,192445,1,Sprite number,Object that the Coin Game Cloud drops
2410,192561,4,Sprite physics,Wiggler speed. First 2 bytes: normal speed. Next 2: mad speed
2411,192589,1,Palette,The palette used by Wiggler when he is angry.  (Default: 08.) YXPPCCCT.
2412,192593,1,Misc.,"Wiggler's Palette cycling sequence

00=Palette 00

02=Palettes 00,02

04=Palettes 00,04

06=Palettes 00,02,04,06

08=Palettes 00,08

0A=Palettes 00,02,08,0A

0C=Palettes 00,04,08,0C

0E=All palettes"
2413,192600,1,Misc.,Result of Wiggler's Palette change?
2414,192780,4,Sprite tilemap related,Wiggler's Body Tilemap
2415,192878,1,Sprite tilemap related,Wiggler's Head
2416,192922,1,Misc.,How many segments Wiggler has
2417,192945,2,Pointer,Pointer to use for X placement of Wiggler's angry eyes tile
2418,192958,1,Sprite tilemap related,Wiggler's angry eyes tile
2419,192991,1,Misc.,X-coord of Wiggler's flower
2420,192996,1,Sprite tilemap related,Tile used by Wiggler's Flower (when on its head)
2421,193006,1,Palette,Palette of Wiggler's flower
2422,193015,1,Misc.,Size of Wiggler's flower/angry eyes tile
2423,193132,1,Sound effect,SFX that comes up when Mario stomps a Wiggler
2424,193235,2,Misc.,"X placement of flower tile on Wiggler's head (1 byte facing right, 1 byte facing left)"
2425,193237,2,Misc.,"X placement of Wiggler's angry eyes tile (1 byte facing right, 1 byte facing left)"
2426,193251,1,Sprite number,Object that falls off of Wiggler when stomped
2427,193364,1,Sprite physics,"Y position that Yoshi's House birds (sprite 8A) fall to after hopping. This should be set to 8 pixels above the height of the platform the birds ""stand"" on."
2428,193499,5,Sprite tilemap related,Yoshi's House Birds Tilemap
2429,193504,2,Sprite tilemap related,"Flip of birds' tiles (right, left)"
2430,193506,4,Palette,Palettes of hopping birds
2431,193575,1,Sprite tilemap related,"[$00] The sprite size of the birds on Yoshi's House.


Format:

- $00 = 8x8

- $02 = 16x16"
